title,content
Henüz Alalı 3 Sene Olan Arçelik Buzdolabımız Soğutmuyor,Henüz daha alalı üç sene olan 283720MB modelli Arçelik buzdolabımızdan aldığımızdan beri lastik kokusu bir türlü gitmedi. Şimdi de buzdolabının üst soğutucu kısmı çalışmıyor. Tüm yiyeceklerimiz bozuldu. Mağdur olduk. Arçelik servisini aradık ve geldiler.Buzdolabını götürüp tamir edeceklerini söylediler. Henüz 3 sene olan buzdolabının nasıl hemen motoru bozulabilir? Arçelik kalitesine yakışmadı. Değişim veya para iadesi istedik. Fakat müşteri hizmetleri hiç ilgili değildi ve kabul etmediler. Acilen bir geri dönüş istiyoruz.
Arçelik Buzdolabı Pişmanlığı Bir Daha Evime Sokmam!,Arçelik buz 2580 CEI buzdolabı 5. Yılında üst bölmesi soğutmamaya başladı servis geldi buzdolabı servise gideceği söylendi cihaza bağlanacakmış motor bozuk olabilirmiş 4800 ₺ motor değişim 600 ₺ servise gitme bedeli biz yapamazsak fabrikadan yarı fiyatına değişim olur dediler ücreti 5 yıllık dolap ® resmen çöp oldu. Arçelik ürünü bir daha evime sokmam 4-5 yılda bir dolap mı alacağım.
Arçelik Ürünlerinin Arkasında Durmuyor,1 buçuk sene önce aldığımız çamaşır makinesini aldığımız günden itibaren şikayetleri artarak devam etti. Sıkmaya geçerken aşırı sarsıntı ve ses oluyordu. İlk çağırdığımız servis elemanı dengesizlik olduğunu söylenip ayağının değişmesi gerektiğini söyledi ve bize ayak aldırdı. Aynı şikayet devam etti yine çağırdık bu sefer yayının değişmesi gerektiğini söyledi onu da değiştirdiler. Biraz zaman geçince tekrar aynı şikayet devam etti bu sefer filtresini temizlememiz gerektiğini söyledi. Onu da yaptık. 4. Defa aradığımız da servis gelip baktı. Daha önce çekmiş olduğumuz videoyu izleyip bu sarsıntının normal olduğunu söyledi. Biz ısrarla makinenin değiştirilmesi gerektiğini söyledik ve Biraz daha üsteleyince komik bir çözüm bulup sacı paslanmış ve gövdesinin değiştirilmesi gerektiğini ince sacı değiştirip kalın sacla değiştirileceğini söyledi. Ona da tamam dedik 2 3 gün sonra geldi makine yine aynı problem devam ediyordu. Bu sefer şikayetimizi bildirip bundan sonra tamir istemediğimiz makinenin değişmeyen parçasının kalmadığını 1 buçuk senelik makinenin bu kadar problem çıkarmaması gerektiğini artık tamir kabul etmeyip değişim talebi oluşturulması gerektiğini söyledik. Bize tekrardan değişim olup olmaması için başka bir teknisyen göndereceklerini söylediler. Gönderdikleri eleman yine makineyi çalıştırın bakmak istedi tamam dedik. Çalıştırdı bunda bir problem yok deyip geri gitti sizin değişim talebinizi bildireceğim dedi. Biz şu ana kadar yapılan bütün işlemlerin dokümanını istedik servise gelip oradan alın deyip bize saygısızca trip attı. Sonra yine arayınca değişim talep ettiğimizi bildirmemiş gelen yetkili servis elemanı. Tekrardan müşteri hizmetlerini aradığımızda öyle bir talebimizin olduğundan haberi yokmuş gibi başka bir eleman göndereceklerini bu sefer değişim talebi oluşturmaya geleceklerini söyledi müşteri hizmetleri. Birkaç gün sonra başka bir eleman gelip tamir için geldiğini ben asla tamir kabul etmediğimi söyleyince ben tamir için geldim etmeyeceksem burda isim ne deyip saygısızca çekip gitti. Hala bir çözüm bulunamadı. Bütün beyaz eşya ve küçük aletleri Arçelik diğer eşyalardan memnundum. Fakat şunu belirteyim müşteri memnuniyeti sıfır çözüm odaklı değiller ürünlerini arkasında değiller oyalıyorlar ve hizmet desen 0. Benim gözümde artık Arçelik bitmiştir. Yazıklar olsun verdiğim paraya. Oysaki ben Türk üretimi olduğu için tercih etmiştim Arçelik'i ama artık gözümde bitmiştir.
Arçelik Kurutma Değil Islatma Makinesi,Buhar özelliği var diye araştırarak aldığımız Arçelik 940 kmı kurutma makinesi buhar değil su püskürtüyor. Buhar özelliğini aktive ettiğimizde 3 saat boyunca kuruttuğu çamaşırların üzerine son 5 dakika su püskürterek ıslatıyor ve ıslak olarak çamaşırları çıkartıyorsunuz. Giyime hazır diye isimlendirdikleri ve satıcının ütülenmiş gibi çıkartır direkt giyersiniz dediği program gömleği sırılsıklam çıkartıyor. Hatta buharlı tazeleme dediği programda çamaşırı kuru olarak atıyor yarım saat sonra ıslak olarak alıyorsunuz. Yani makine kurutma değil ıslatma makinesi.Servis çağırdım ve gelen servis makinede sorun olmadığını zaten buhar değil su püskürtmesi gerektiğini söyleyip gitti.
Arçelik Buzdolabı Ünlem İşareti Sorunu,Ağustos ayında Arçelik'ten aldığım 7262420493 574560 eı buzdolabı 3. senesinde ünlem işareti hatası veriyor. 3 kez servis çağırdım gelen düzeltiyor 2 gün sonra yine aynı. Servis fişlerini kontrol ettiğimde ikisinde bir arıza olmadığını belirtmişler. Arıza olmasa servis i niye çağıralım. Bir de aynı sorunda olursa Arçelik mi tövbe kapıdan sokmam.
Arçelik Bulaşık Makinesi Kirli Çıkarması,"2021 yılı temmuz ayında Arçelik bulaşık makinesi aldım. Ürünü 1.5 yıldan uzun süredir kullanıyorum. Ama son 2 aydır bulaşıklarda kalıntı bırakıyor. Servisi aradım geldi tuzu senede 1 koy çok sık koyma dedi gitti bu sorunu çözmede tekrar aradım yine geldiler deterjanı boşa atın dediler gittiler sorun hala düzelmedi.3. Kez yine geldi servis şeffaf kapakla çalıştırdı. Pervaneler dönüyor su alıyor su ısıtıyor teknik olarak sorun yok hangi deterjan kullanıyorsunuz dediler Pril ® Gold Finish ® ve Fairy ® dönüşümlü dedim. Fairy kullanın yeni makineler sert deterjanla olmuyor denildi teknik olarak makinin sorunu yok biz bir şey yapamıyoruz.Tamam teknik olarak sorun olmayabilir ama kullanıcı olarak yıkanmayan bulaşıklarım var her seferinde çıkardığımın yarısının elimde yıkayacaksam makine neden var. Yaklaşık 1 hafta Fairy kullandım hiçbir değişiklik olmadı Arçelik sayfasına yazdım yine servis aradı bu sefer dalga geçer gibi Finish kullanın Fairy değil dedi.Dedim dalga mı geçiyorsunuz hanımefendi teknik olarak sorun yok ama dedim yıkamıyor hayatımda ilk defa bulaşık makinesi kullanmıyorum 1.5 yıldır sorun yok sorun başladı ise problem var ve çözmüyorlar. Tüketici Mahkemesi'ne gibin deniyor bu kendileri için kolay olan ama satarken böyle bir şey yok. Makinemdeki sorunun acilen giderilmesini ve gerekiyorsa değişimi için gereğinin yapılmasını rica ediyorum.
Zeliha e--"
Arçelik Ankastre Kurulumunu Yapamadılar,Arçelik ankastre seti kurulumu saçmalığı resmen. Ankastrenin davlumbazını takarken fayansı patlattı ve baca kısmını sabitlemeden öylece bırakıp gitti. Baca kısmi yerinden çıkıyor ve davlumbaz zırıltılı çalışıyor. Ayrıca takan usta lakayıt bir tavırla bu bu kadar olur başka turlu olmaz diyerek azarladı resmen. Paramızla küçük düşüyoruz resmen.
Arçelik Tost Makinesi Arızası,Almış olduğum 2 adet Arçelik TM 6006 tost makinesini belli zaman aralıklarıyla bozulduğu için servise gönderdim. Tost makinesinin birini tamiri yapılamayacağı için bir üst model ile değişim sağlandı şu an kullanımda herhangi bir sorun yoktur aynı model diğer tost makinesinin 4 defa on off tuşu bozulmuş olup sürekli tamiri yapılmakta ancak ardından tekrar bozulmaktadır. En son olarak servise gönderdiğimizde 1560 lira karşılığında değişim yapılacağı belirtildi. Tost makinesinin bozulması benim hatam değildir. Tost makinesinin kullanılabilir ve bozulmayacak halde tamirinin yapılmasını istiyorum veya yenisiyle ücretsiz değişimin yapılmasını istiyorum. Gerekli hizmet verilmezse Tüketici Hakem Heyeti ®'ne başvuracağım. Talep takip no 439720047.
Arçelik Bir Aydır Ücret İadesi Yapmıyor,Arçelik 26 Şubat'tan beri ücret iademi yapmıyor Trendyol ®'dan küçük ev aleti aldım Arçelik bozuk gönderdiler yetkili servisi aradım ürünü gelip aldılar fakat aradığımda hiçbir bilgi vermiyorlar. Bir aydır iademi yapmıyorlar en sonunda şikayetçi olacağım hem bozuk ürün hem bir aydır ödeme yapılmasın pişmanlık resmen.
Arçelik Bulaşık Makinesi İadesi,Beyazeşya fırsatı sitesinden Arçelik 6144 model bulaşık makinesi aldım 14 gün kullandım tüm deterjanları denedik ancak bulaşıklarda şu birikintisi bırakıyor hem de yıkamasından memnun kalmadık iade için beyaz eşya fırsatı müşteri temsilcisi ile görüştük onlar Arçelik servisi kabul ederse biz iade alırız diyorlar ancak Arçelik servisi bulaşık makinesinde iade yoktur diye kabul etmiyor.
