title,content
Beko Buzdolabı Arızası,5 sene önce Beko'dan b9479 nexn model buzdolabı satın aldık. Bundan 5 ay önce soğutma arızası verdi. Yetkili servisi çağırdık. Yağ değişimi yapılacağı söylendi ve garanti süresi bittiği için bu servis karşılığında ücret ödedik. Ancak 2 hafta sonra tekrar arıza verdi. Bu sefer gövde kaçağı olduğunu söyleyip tekrar işlem gördü ve gaz basıp gövde testi yapıp ürünü tamir ettiklerini söylediler.Yaklaşık 1 ay sonra tekrar arıza verince bu sefer motorun yandığını söyleyip 3300 ₺ karşılığında motor değiştirdik. 15 ay içinde ürün tekrar arıza verdi ve şu an da ürünün yenisi ile değiştirilmesi için benden 11140 ₺ ücret talep edilmekte. Yenisi ile değiştirilmesi gereken bir ürün için son 5 ay içinde neden bizden bir sürü ücret talep edildi. Ödediğimiz servis ücretleri çöpe mi gidecek? Her zaman müşterilerini mağdur eden bir firma.
Beko Bulaşık Makinesi Kurutmuyor.,Beko bulaşık makinesi aldım 1 ay olmadı daha kurutma yapmıyor. 3 kez servis geldi bana dediği şey kurutma yapmaması normalmiş kapağını açacakmışım kurutmuş. Ekstra kurutma yapıyorum hala kurutmuyor ve Beko ısrarla değişim veya iade almıyorlar şikayet ediyorum. 20 günlük cayma hakkımın gününü geçiriyorlar. Ben hakkımın olanı almak istiyorum artık iade edilsin değişimde istemiyorum.
Beko Buzdolabı Kapağı Paslanıyor Ve İçine Göçüyor,"Aldığımız günden beri sıkıntı yaşıyoruz daha önce belirttiğim gibi dolap ® kapağı kendiliğinden paslanıyor 2 kere değişmesine rağmen aynı sorunu yaşıyoruz son değişimde gelen kapak içine göçüyor belirtmeme rağmen şimdilik kullanın en kısa sürede değişeceğiz denildi ve gelen giden olmadı.
Artık bu dolabın değişmesini istiyorum.
Beko buzdolabı sorunları devam ediyor. Şikayet etmeme rağmen önemsenmedi arayıp sorulmadı.
Koskoca Beko Türk malından soğuttunuz beni keşke imkanım olsa da bütün Beko beyaz eşyamı firmanızın önüne atabilsem. Yazıklar olsun
Keşke B**alsaydım binbir pişmanım.
Bir buzdolabı nasıl paslanabilir aklım almıyor."
Beko Televizyonumun Kanal Listesi Kendi Kendine Değişiyor,Beko 32 inc televizyonum sıralamış olduğum kanal listesini ayarladıktan yarım saat sonra kendi kendine kanal listelerini değiştiriyor... Televizyonumuzu kaç defa tekrar sıralama yaptık. Tekrardan kendi kendine değişti. Daha önce bunun için teknik servise de göndermiştik bir süre sorun hallolmuştu fakat şu an da tekrarlamaya başladı.
Beko Bulaşık Makinesi Arıza,Beko bulaşık makinesi aldığımız günden beri sorunlu. Bulaşıklar güzel yıkanmıyor ve sürekli p1 p2 arızası veriyor. Program seçemiyorum. Ve altından su akıtıyor. Bir kere servis çağırdım sorun çözülmedi. Şu anda da garanti kapsamı dışında. Verdiğimiz para boşa gitti resmen.
Beko TV'de Leke Problemi Ve Servis,27 Ocak'ta Beko TV cristal 50 inç TV aldım. Modeli falan hatırlamıyorum zaten önemi yok. Bu TV'de saçma bir lekelenme var. Asla ne değişim ne onarım gibi bir derdi yok firmanın. Gelen ekip baktı baktı gitti. Geniş geniş açmıyoruz TV'yi bakıyoruz ekrana denk gelirse diyor. Üstüne probleme bir tanım koyamadı. Yani ilk defa denk geliyorlarmış. İlk defa denk geliyorsan problem benden kaynaklı değildir herhalde. Benim kaydettiğim görüntüyü de kanıt olarak saymıyor. Sırf sözde yetkili servisin tavrı için bile Tüketici Hakları'na götüreceğim bu problemi.
Beko Servis Mağduriyeti Ve İlgisizliği,Beko buzdolabım ile ilgili yaşamış olduğum sorunu defalarca bildirdim ama nafile ne yaptıysan size dinletemedim garanti süresinde fitil değişti ekran değişti üst kapak değişti değişen üst kapak markasız alt kapak ile rendi aynı değil motoru değişti yoğuşma kabı değişti son olarak Siirt servisiniz arıza giderildi dediği gün Kurtalan servisinizde kayıt oluşturdum.Motor arızalı panel tıkalı Sonuç itibariyle şu an dolapsızım bu Ramazan ayında bir müşteri bu kadar da mağdur edilemez şu an dolabım atölyenizde Siirt şubenizin mağduriyet politikası suçu olmayan işini layıkıyla yapan Kurtalan şubenize patladı sizden rica ediyorum Buzdolabımın değişim hakkının arızasını saklayarak bana yardımcı olmayan Siirt şubesince yapılmasını istiyorum onlar beni mağdur etti.
Beko Çamaşır Makinesi Paslanma,Beko markası çamaşır makinem makinenin dış kısımları paslandı daha alalı bir buçuk yıl oldu neden olduğunu hala anlamış değilim makineme baktıkça verildiğim paraya üzülüyor acıyorum. Garantisi var hala dış kısmı diye yaparlar ilgilenir mi bilmiyorum
Beko Klima Isıtma Yapmıyor!,"Klima arızası oluştu aldılar bende klimayı sözde yaptılar 3 gün klima bende kalıyor 4 gün serviste kalıyor. Benden çok fazla kullanıyorlar mübarekler. Toplamda benden aldıkları para 3200₺. Şimdi de diyor 4500₺ daha ver şu parçalıda değiştirelim belki arıza oradadır. Benden aldığın paralar boşa gitti o zaman. Becerisizliklerini benim klima da deniyorlar.
Viranşehir Arçelik ® Beko (evser) servisinde şikayetçiyim. Klimam hala aromalı duruyor."
Beko Çamaşır Makinesi Yazılım Sorunsalı,Almış olduğum Beko çamaşır makinesi 1 senedir program bitene kadar 4-5 defa kendi kendine pause oluyor. Başlatıyoruz bir süre sonra pause oluyor. Servisle görüştüm bana yazılım sorunu olduğunu ana kartın değişmesi gerektiğini söyledi. Donanım arızasını geçtik bir de yazılım sorunu çıktı başımıza. 10 yıl motor garantisi veren firma yazlımı'na garanti veremiyor 6 yıl sonra yazılım atamadıkları için kart değişimi yapmam gerekiyor.
