Servis Hizmeti,vestel televizyonum deprem sırasında ekranı kırıldı servise yönlendirildim ancak 5100 lira masraf çıkarıldı zaten televizyonu da 3-4 aydır almıştım garantisi devam ediyor depremde mağdur olan insanlar olarak en azından bir kolaylık sağlanmasını talep ediyoruz
Servis Hizmeti,vestel marka televizyonum ve derin dondurucum var. ürünlerimden gayette memnunum ancak servisten ciddi anlamda şikayetçiyim. televizyonumu aldıktan bir süre sonra ekranda ölü piksel olduğunu fark ettik ve servis çağırdım. fabrika ® toleransı olabileceğini söylediler. benim ısrarımla fotoğrafı fabrikaya gönderildi. fabrika değişim kararı verdi. şimdiyse ilk açtığımızda ses var görüntü yok. elimde video kayıtları da olmasına ve gelen arkadaşında bu duruma şahit olmasına istinaden atölyeye alındı. bütün gün çalıştırmışlar ki zaten arıza o zaman görülmüyordu. sözde testte tutulmuş ve arızası yok denilerek iade edildi. derin dondurucumu aldığım ilk ay karlanma yaptı. servis geldiğinde tamiri onaylamayıp değişim istedik ve değiştirildi. 1.5 yılda 2 kez karlandı ama normal gibi düşünmüştük. birkaç gün önce servisten gelen arkadaşlar ölçümler yaptı. cihazı atölyeye alacağız dedi. bugünse ürünüm test ettik problem yok denilerek iade edildi. 2 elektronik cihazda da o zaman ben neden mağdur edildim. bununla ilgili bana dönüş yapılmasını istiyorum.-yiğit klima sanayi ve ticaret ltd.-manisa
Servis Hizmeti,ben hayatımda bu kadar kötü servisi olan bir firma daha görmedim. televizyon aldım kurulumu defalarda biraz daha aşağıda istiyoruz dememize rağmen dinleyip yukarı taktılar. şikayet oluşturduğumda da bir şey yapamıyoruz diye dönüş aldım.
Servis Hizmeti,aldığımız kurutma makinesi servis kurulumu esnasında paketinden kırık cıktı ve şu an ürün değişimi için vestel bizden 8.000 tl değişim ücreti istiyor. kendilerinden kaynaklı bir hatayı müşteriye yıkıp mağdur eden ve sorunumuza hiçbir şekilde çözüm bulmayan vasat bir marka bir daha kesinlikle tercih etmem 👎👎
Servis Hizmeti,vestel çamaşır makinesi aldım. geldiği gün aşırı ses çıkarmasından yetkili servisi aradık ama normal çalışma hali denildi ve yardımcı olunmadı kaç ay oldu hala aynı sıkıntı çok. pişmanım keşke hiç almasaydım hala taksit ödüyorum ama üzüntümü tarif edemem akşamları makineye çamaşır atma gibi bir şansım tok maalesef
Müşteri Hizmetleri,malatya ilinde yaşıyorum. 6 şubat 2023'de meydana gelen depremde evim ağır hasar almış vestel 50u9400 4k smart televizyonda paneli kırılmış yetkilileriniz arayıp durumumu bildirip hala garantisi devam eden tv için çözüm talep ederek 8092575689 no lu hizmet kaydı ile servis gelmiş 5025₺ civarı bir fiyat çıkarmıştır.defaatle rica ederek müşteri hizmetleri ve diğer yetkililerinizle görüşüp depremzede olduğumu depremden dolayı tv’nin zarar gördüğünü bireysel bir hatamızın olmadığını hala garanti süresinin devam ettiğini yerli ve milli markamızın yetkililerinin bize kendi halkına yardımcı olmasını gerektiğini aktarmama rağmen 0236 999 16** sayılı numaradan tarafıma ulaşılıp tv’yi depremzede olduğum için 5025 ₺ yerine 4750 ₺ ye panel onarımı yapabileceklerini kendilerine biz sizin kendi halkınızız ayrıca zaten bu tv'yi 3950 ₺ ye satın alınan ürün için içinde bulunduğumuz deprem koşulları göz ardı edilmiştir.yabancı ürün alan emsallerde ürünler yenisiyle çok uygun fiyatlara değiştirilmiştir. “zorlu holding” yetkililerin inanıyorum ki bu durumdan haberdar olmasıyla tarafıma gerçekten bir depremzedeye yardımcı olunacağını en azından cüz-i bir miktara yeni bir ürünle değiştirilmesi yönünde değerlendirileceğine inanıyor beklentilerimin acilen karşılanmasını talep ediyorum.
Arızalı Ürün,3 _4gün önce vestel vbju 8026model buhar jeneratör lü ütü aldım. fakat hiç buhar yapmadı. isıtma modu nda da fazla ısınmıyor yaklaşık 8_9 sene önce den aldığım buharlı ütü nerede bu ütü nerede önceki buharlı ütü çok güzeldi. şimdi yeni aldığım ütü arızalı hem buhar vermiyor hem de tam ısınmıyor bir kez bile buhar puf demedi. kullanma kılavuzunda yazılan her şeyi sırasıyla takip edip yaptım fakat hiçbir şekilde buhar vermedi ütü. hiç memnun kalmadım ve hatta iade etmeyi düşünüyorum
Servis Hizmeti,vestel her zamanki gibi... sırf yerli malı olsun diye 6 yıl önce aldığım tv im kablosuz aktarım yapmamaya başladı. hatta internetle ilgili birçok özelliği çalışmıyor bile artık youtube ®.com gibi mesela. servisiyle bağlantıya geçtiğimde maalesef desteklemiyor diyorlar.! sanki televizyonu 30 yıl önce aldım da hiçbir şeyi desteklemiyor.! abimin 9 yıl önce aldığı samsun tv ye kusursuz bağlanıyor laptop um ama maalesef vestel görüyoruz ki teknolojiyi sadece para kazanalım gerisini sallayalım gözüyle bakıyor... bir daha asla yerli malı alamam. bu kaçıncı ağzım yanışı...
Servis Hizmeti,vestel 32fa9500 model android tv'yi media markt ® isimli siteden aldım almaz olaydım ucuz bir şey daha iyi sürekli tv dönüyor ve izlenmiyor. yazıklar olsun dünya markası olacakmış bir de. servisi arıyoruz küçük tv diye bakmıyorlar. kurumsal vestel işte bu kadar.
Servis Hizmeti,3 yıl önce vestel 9300 ud tv adım çok da memnundum. ama tv 3 ay kadar önce ufacık darbe sonrası ekran gün ve gün kapanma ya kadar gitti vestel yetkili servisi arayarak tamir ettirmek istedim. ama bana ellerinde tv'nin panelinin olmadığını ve bunun karşılığında bana 7 bin tl karşılığında r*** tv verebileceklerini söylediler. ben anlamıyorum 3 yıllık tv nasıl parçası bulunmuyor ya ne burda ne de manisa'daki fabrikada? yazık.
Müşteri Hizmetleri,trendyol' dan bir vestel klima aldım ama lakayıt servisleri yüzünden 1 aydır salonumun ortasında bekliyor sebebi boru yokmuş nasıl bir serviste boru olmaz anlamak mümkün değil süre vermiyor hatta telefonu açmıyorlar müşteri hizmetleri aradığımda bir sürü boş laf yapacağız edeceğiz yani sonuçta vestel beni mağdur etti.
Servis Hizmeti,hayatımda ilk kez bir vestel ürünü aldım tv. 2 senesi de garantisi dolmadı henüz ekran gitti ürün bu yani kötü servis ondan da kötü randevu aldım iki kere saati ertelediler sonra yarın dediler artık ben sinirlenince de bir zahmet gelip aldılar akıbeti ne olur bilmiyorum bundan böyle vestel tercih etmem söz konusu değil bin kere pişmanım.
