title,content
Depremde Ekranı Kırılan Vestel TV,Vestel televizyonum deprem sırasında ekranı kırıldı servise yönlendirildim ancak 5100 lira masraf çıkarıldı zaten televizyonu da 3-4 aydır almıştım garantisi devam ediyor depremde mağdur olan insanlar olarak en azından bir kolaylık sağlanmasını talep ediyoruz
Vestel Teknik Servis Problemi Yaşıyorum/neden Mağdur Edildim,Vestel marka televizyonum ve derin dondurucum var. Ürünlerimden gayette memnunum ancak servisten ciddi anlamda şikayetçiyim. Televizyonumu aldıktan bir süre sonra ekranda ölü piksel olduğunu fark ettik ve servis çağırdım. Fabrika ® toleransı olabileceğini söylediler. Benim ısrarımla fotoğrafı fabrikaya gönderildi. Fabrika değişim kararı verdi. Şimdiyse ilk açtığımızda ses var görüntü yok. Elimde video kayıtları da olmasına ve gelen arkadaşında bu duruma şahit olmasına istinaden atölyeye alındı. Bütün gün çalıştırmışlar ki zaten arıza o zaman görülmüyordu. Sözde testte tutulmuş ve arızası yok denilerek iade edildi. Derin dondurucumu aldığım ilk ay karlanma yaptı. Servis geldiğinde tamiri onaylamayıp değişim istedik ve değiştirildi. 1.5 yılda 2 kez karlandı ama normal gibi düşünmüştük. Birkaç gün önce servisten gelen arkadaşlar ölçümler yaptı. Cihazı atölyeye alacağız dedi. Bugünse ürünüm test ettik problem yok denilerek iade edildi. 2 elektronik cihazda da o zaman ben neden mağdur edildim. Bununla ilgili bana dönüş yapılmasını istiyorum.-Yiğit klima sanayi ve ticaret ltd.-Manisa
Vestel Kurulum Hatası Hakkında,Ben hayatımda bu kadar kötü servisi olan bir firma daha görmedim. Televizyon aldım kurulumu defalarda biraz daha aşağıda istiyoruz dememize rağmen dinleyip yukarı taktılar. Şikayet oluşturduğumda da bir şey yapamıyoruz diye dönüş aldım.
Vestel Beyaz Eşya Müşteri Mağduriyeti,Aldığımız kurutma makinesi servis kurulumu esnasında paketinden kırık cıktı ve şu an ürün değişimi için Vestel bizden 8.000 TL değişim ücreti istiyor. Kendilerinden kaynaklı bir hatayı müşteriye yıkıp mağdur eden ve sorunumuza hiçbir şekilde çözüm bulmayan vasat bir marka bir daha kesinlikle tercih etmem 👎👎
Vestel Çamaşır Makinesi Kullanıcı Şikayeti,Vestel çamaşır makinesi aldım. Geldiği gün aşırı ses çıkarmasından yetkili servisi aradık ama normal çalışma hali denildi ve yardımcı olunmadı kaç ay oldu hala aynı sıkıntı çok. Pişmanım keşke hiç almasaydım hala taksit ödüyorum ama üzüntümü tarif edemem akşamları makineye çamaşır atma gibi bir şansım tok maalesef
Depremde Zarar Gören Vestel Tv,Malatya ilinde yaşıyorum. 6 Şubat 2023'de meydana gelen depremde evim ağır hasar almış Vestel 50u9400 4K Smart televizyonda paneli kırılmış yetkilileriniz arayıp durumumu bildirip hala garantisi devam eden TV için çözüm talep ederek 8092575689 no lu hizmet kaydı ile servis gelmiş 5025₺ civarı bir fiyat çıkarmıştır.Defaatle rica ederek müşteri hizmetleri ve diğer yetkililerinizle görüşüp depremzede olduğumu depremden dolayı TV’nin zarar gördüğünü bireysel bir hatamızın olmadığını hala garanti süresinin devam ettiğini yerli ve milli markamızın yetkililerinin bize kendi halkına yardımcı olmasını gerektiğini aktarmama rağmen 0236 999 16** sayılı numaradan tarafıma ulaşılıp TV’yi depremzede olduğum için 5025 ₺ yerine 4750 ₺ ye panel onarımı yapabileceklerini kendilerine biz sizin kendi halkınızız ayrıca zaten bu TV'yi 3950 ₺ ye satın alınan ürün için içinde bulunduğumuz deprem koşulları göz ardı edilmiştir.Yabancı ürün alan emsallerde ürünler yenisiyle çok uygun fiyatlara değiştirilmiştir. “Zorlu holding” yetkililerin inanıyorum ki bu durumdan haberdar olmasıyla tarafıma gerçekten bir depremzedeye yardımcı olunacağını en azından cüz-i bir miktara yeni bir ürünle değiştirilmesi yönünde değerlendirileceğine inanıyor beklentilerimin acilen karşılanmasını talep ediyorum.
Vestel Buhar Jeneratör Lü Ütü Buhar Vermiyor,3 _4gün önce Vestel vbju 8026model buhar jeneratör lü ütü aldım. Fakat hiç buhar yapmadı. Isıtma modu nda da fazla ısınmıyor yaklaşık 8_9 sene önce den aldığım buharlı ütü nerede bu ütü nerede önceki buharlı ütü çok güzeldi. Şimdi yeni aldığım ütü arızalı hem buhar vermiyor hem de tam ısınmıyor bir kez bile buhar puf demedi. Kullanma kılavuzunda yazılan her şeyi sırasıyla takip edip yaptım fakat hiçbir şekilde buhar vermedi ütü. Hiç memnun kalmadım ve hatta iade etmeyi düşünüyorum
Vestel Televizyon 6 Yılda Hiçbir Şeyi Desteklememesi...,Vestel her zamanki gibi... Sırf yerli malı olsun diye 6 yıl önce aldığım TV im kablosuz aktarım yapmamaya başladı. Hatta internetle ilgili birçok özelliği çalışmıyor bile artık Youtube ®.com gibi mesela. Servisiyle bağlantıya geçtiğimde maalesef desteklemiyor diyorlar.! Sanki televizyonu 30 yıl önce aldım da hiçbir şeyi desteklemiyor.! Abimin 9 yıl önce aldığı Samsun TV ye kusursuz bağlanıyor laptop um ama maalesef Vestel görüyoruz ki teknolojiyi sadece para kazanalım gerisini sallayalım gözüyle bakıyor... Bir daha asla yerli malı alamam. Bu kaçıncı ağzım yanışı...
Vestel Çamaşır Makinesi Eko9711tl,Biz Vestel çamaşır makinesi aldık. Yıllar sonra fark ettik ki bir de sıvı deterjan aparatı varmış. Öğrendik ama biz makinenin bütün artılarını saklarken içinden kesinlikle aparat çıkmadı. Şimdi arıyoruz ama piyasada bulamıyoruz. Vestel'e ya da makineyi aldığımız bayiye yakışmadı. Bu parçayı alıp ekstradan mı satıyorlar anlamadık.
Vestel TV Sürekli Donuyor,Vestel 32fa9500 model Android TV'yi Media Markt ® isimli siteden aldım almaz olaydım ucuz bir şey daha iyi sürekli TV dönüyor ve izlenmiyor. Yazıklar olsun dünya markası olacakmış bir de. Servisi arıyoruz küçük TV diye bakmıyorlar. Kurumsal Vestel işte bu kadar.
